FPR,TPR,Thresholds
0.0,0.0,inf
0.0,1.7669405424507466e-05,0.99999917
0.0,5.30082162735224e-05,0.99999905
0.0,0.00012368583797155226,0.9999989
0.0,0.00014135524339605973,0.9999988
0.0,0.00019436345966958212,0.9999987
0.0,0.00022970227051859706,0.99999857
0.0,0.0004240657301881792,0.99999845
0.0,0.000494743351886209,0.99999833
0.0,0.0005300821627352239,0.9999982
0.0,0.0007244456224048061,0.9999981
0.0,0.0009011396766498807,0.999998
0.0,0.0011131725417439704,0.99999785
0.0,0.0016785935153282093,0.99999774
0.0,0.001978973407544836,0.9999976
0.0,0.002137998056365403,0.9999975
0.0,0.00243837794858203,0.9999974
0.0,0.0029154518950437317,0.99999726
0.0,0.0036222281120240306,0.99999714
0.0,0.004399681950702359,0.999997
0.0,0.004753070059192508,0.9999969
0.0,0.005194805194805195,0.9999968
0.0,0.006113614276879583,0.99999666
0.0,0.006696704655888329,0.99999654
0.0,0.007032423358953971,0.9999964
0.0,0.007880554819330329,0.9999963
0.0,0.008958388550225285,0.9999962
0.0,0.009718172983479106,0.99999607
0.0,0.01114939482286421,0.99999595
0.0,0.01233324498630621,0.9999958
0.0,0.013976499690785404,0.9999957
0.0,0.014329887799275555,0.9999956
0.0,0.01512501104337839,0.99999547
0.0,0.016255852990546868,0.99999535
0.0,0.017033306829225197,0.99999523
0.0,0.018022793532997614,0.9999951
0.0,0.019277321318137645,0.999995
0.0,0.020885237211767823,0.9999949
0.0,0.021715699266719676,0.99999475
0.0,0.022970227051859703,0.99999464
0.0,0.023747680890538032,0.9999945
0.0,0.025691315487233853,0.9999944
0.0,0.02683982683982684,0.9999943
0.0,0.02802367700326884,0.99999416
0.0,0.029861295167417617,0.99999404
0.0,0.0326707306299143,0.9999939
0.0,0.03403127484760138,0.9999938
0.0,0.03548016609241099,0.9999937
0.0,0.036628677445003976,0.99999356
0.0,0.03775951939217245,0.99999344
0.0,0.03920841063698206,0.9999933
0.0,0.041240392260800424,0.9999932
0.0,0.04351974556056189,0.9999931
0.0,0.0454457107518332,0.99999297
0.0,0.047513031186500576,0.99999285
0.0,0.04846717907942398,0.9999927
0.0,0.05048149129781783,0.9999926
0.0,0.05177135789380687,0.9999925
0.0,0.05316724092234296,0.9999924
0.0,0.054386429896633975,0.99999225
0.0,0.05613570103366022,0.99999213
0.0,0.05744323703507377,0.999992
0.0,0.06002297022705186,0.9999919
0.0,0.06124215920134288,0.9999918
0.0,0.06279706687869953,0.99999166
0.0,0.06444032158317872,0.99999154
0.0,0.06613658450393144,0.9999914
0.0,0.06767382277586359,0.9999913
0.0,0.0688753423447301,0.9999912
0.0,0.07096033218482198,0.99999106
0.0,0.0729039667815178,0.99999094
0.0,0.07438819683717643,0.9999908
0.0,0.07564272462231646,0.9999907
0.0,0.07707394646170157,0.9999906
0.0,0.07945931619401007,0.99999046
0.0,0.08060782754660306,0.99999034
0.0,0.0826044703595724,0.9999902
0.0,0.084018022793533,0.9999901
0.0,0.08504284830815444,0.99999
0.0,0.08619135966074741,0.99998987
0.0,0.08748122625673646,0.99998975
0.0,0.08885943987984804,0.9999896
0.0,0.08995494301616751,0.9999895
0.0,0.09154518950437318,0.9999894
0.0,0.09287039491121124,0.9999893
0.0,0.09442530258856789,0.99998915
0.0,0.09698736637512148,0.99998903
0.0,0.09919604205318491,0.9999889
0.0,0.10046823924374945,0.9999888
0.0,0.10165208940719145,0.9999887
0.0,0.10265924551638837,0.99998856
0.0,0.10548635038430956,0.9999883
0.0,0.10725329092676031,0.9999882
0.0,0.10841947168477781,0.9999881
0.0,0.10995670995670996,0.99998796
0.0,0.11112289071472745,0.99998784
0.0,0.11227140206732043,0.9999877
0.0,0.11421503666401625,0.9999876
0.0,0.11511617634066613,0.9999875
0.0,0.11713048855905998,0.99998736
0.0,0.11861471861471862,0.99998724
0.0,0.11997526283240569,0.9999871
0.0,0.12153017050976235,0.999987
0.0,0.12335011926848662,0.9999869
0.0,0.12448096121565509,0.99998677
0.0,0.12577082781164414,0.99998665
0.0,0.12691933916423712,0.9999865
0.0,0.12831522219277322,0.9999864
0.0,0.13002915451895045,0.9999863
0.0,0.13153105398003356,0.9999862
0.0,0.13299761463026769,0.99998605
0.0,0.13529463733545366,0.99998593
0.0,0.1368142062019613,0.9999858
0.0,0.13859881614983655,0.9999857
0.0,0.14045410371940983,0.9999856
0.0,0.14229172188355863,0.99998546
0.0,0.14349324145242512,0.99998534
0.0,0.14448272815619753,0.9999852
0.0,0.1455605618870925,0.9999851
0.0,0.14644403215831786,0.999985
0.0,0.14739818005124128,0.99998486
0.0,0.14976588037812527,0.99998474
0.0,0.15158582913684954,0.9999846
0.0,0.152716671084018,0.9999845
0.0,0.15391819065288453,0.9999844
0.0,0.15584415584415584,0.99998426
0.0,0.15711635303472038,0.99998415
0.0,0.15805283152221927,0.999984
0.0,0.1595017227670289,0.9999839
0.0,0.1619224313101864,0.9999838
0.0,0.16301793444650586,0.99998367
0.0,0.16448449509673999,0.99998355
0.0,0.16641046028801132,0.99998343
0.0,0.16741761639720823,0.9999833
0.0,0.16902553229083842,0.9999832
0.0,0.16987366375121477,0.9999831
0.0,0.17141090202314693,0.99998295
0.0,0.17268309921371147,0.99998283
0.0,0.17377860235003093,0.9999827
0.0,0.175139146567718,0.9999826
0.0,0.1760932944606414,0.9999825
0.0,0.17741849986747946,0.99998236
0.0,0.17863768884177048,0.99998224
0.0,0.18003357187030655,0.9999821
0.0,0.18114674441205053,0.999982
0.0,0.1822245781429455,0.9999819
0.0,0.18328474246841595,0.99998176
0.0,0.18494566657831965,0.99998164
0.0,0.18715434225638308,0.9999815
0.0,0.18877992755543777,0.9999814
0.0,0.18962805901581412,0.9999813
0.0,0.19067055393586005,0.99998116
0.0,0.19188974291015107,0.99998105
0.0,0.19319727891156463,0.9999809
0.0,0.1943457902641576,0.9999808
0.0,0.19567099567099566,0.9999807
0.0,0.19772064670023853,0.99998045
0.0,0.2001943634596696,0.99998033
0.0,0.2084813146037636,0.9999802
0.0,0.20932944606413995,0.9999801
0.0,0.21054863503843096,0.99998
0.0,0.21178549341814648,0.99997985
0.0,0.21289866595989046,0.99997973
0.0,0.2137644668256913,0.9999796
0.0,0.2147009453131902,0.9999795
0.0,0.21851753688488382,0.9999794
0.0,0.21971905645375034,0.99997926
0.0,0.22113260888771094,0.99997914
0.0,0.22266984715964308,0.999979
0.0,0.22374768089053804,0.9999789
0.0,0.22500220867567805,0.9999788
0.0,0.22782931354359925,0.99997866
0.0,0.22917218835586184,0.99997854
0.0,0.23019701387048325,0.9999784
0.0,0.2312748476013782,0.9999783
0.0,0.23189327679123597,0.9999782
0.0,0.23314780457637602,0.99997807
0.0,0.23569219895750507,0.99997795
0.0,0.23657566922873044,0.9999778
0.0,0.2376535029596254,0.9999777
0.0,0.23843095679830373,0.9999776
0.0,0.24009188090820743,0.99997747
0.0,0.24076331831433873,0.99997735
0.0,0.24201784609947874,0.99997723
0.0,0.24286597755985512,0.9999771
0.0,0.243767117236505,0.999977
0.0,0.2447212651294284,0.9999769
0.0,0.24604647053626647,0.99997675
0.0,0.2476013782136231,0.99997663
0.0,0.24864387313366906,0.9999765
0.0,0.24966869864829047,0.9999764
0.0,0.25053449951409135,0.9999763
0.0,0.25198339075890097,0.99997616
0.0,0.2528138528138528,0.99997604
0.0,0.2539270253555968,0.9999759
0.0,0.2549341814647937,0.9999758
0.0,0.25581765173601906,0.9999757
0.0,0.25648908914215035,0.99997556
0.0,0.2573195511971022,0.99997544
0.0,0.25829136849545015,0.9999753
0.0,0.2587507730364873,0.9999752
0.0,0.2595989044968637,0.9999751
0.0,0.2612774980121919,0.99997497
0.0,0.2622139764996908,0.99997485
0.0,0.26853962364166445,0.9999747
0.0,0.26921106104779574,0.9999746
0.0,0.2699531760756251,0.9999745
0.0,0.2708013075360014,0.99997437
0.0,0.27180846364519834,0.99997425
0.0,0.2729569749977913,0.99997413
0.0,0.2738051064581677,0.999974
0.0,0.2751479812704303,0.9999739
0.0,0.2761374679742027,0.9999738
0.0,0.27687958300203197,0.99997365
0.0,0.27781606148953086,0.99997354
0.0,0.2784168212739641,0.9999734
0.0,0.27956533262655714,0.9999733
0.0,0.28034278646523547,0.9999732
0.0,0.2818976941425921,0.99997306
0.0,0.2828518420355155,0.99997294
0.0,0.2836999734958919,0.9999728
0.0,0.2847071296050888,0.9999727
0.0,0.2854139058220691,0.9999726
0.0,0.286385723120417,0.99997246
0.0,0.28741054863503845,0.99997234
0.0,0.2882586800954148,0.9999722
0.0,0.28935418323173423,0.9999721
0.0,0.2902376535029596,0.999972
0.0,0.2914038342609771,0.99997187
0.0,0.2929764113437583,0.99997175
0.0,0.2937361957770121,0.9999716
0.0,0.29470801307536,0.9999715
0.0,0.29546779750861385,0.9999714
0.0,0.29631592896899017,0.9999713
0.0,0.2968636805371499,0.99997115
0.0,0.29734075448361164,0.99997103
0.0,0.29810053891686544,0.9999709
0.0,0.2992137114586094,0.9999708
0.0,0.30022086756780636,0.9999707
0.0,0.3010336602173337,0.99997056
0.0,0.30182878346143655,0.99997044
0.0,0.30253555967841683,0.9999703
0.0,0.30326000530082164,0.9999702
0.0,0.30451453308596166,0.9999701
0.0,0.305256648113791,0.99996996
0.0,0.3060164325470448,0.99996984
0.0,0.30693524162911917,0.9999697
0.0,0.30751833200812795,0.9999696
0.0,0.30849014930647584,0.9999695
0.0,0.3091085784963336,0.99996936
0.0,0.3095503136319463,0.99996924
0.0,0.3104514533085962,0.9999691
0.0,0.31122890714727447,0.999969
0.0,0.31182966693170777,0.9999689
0.0,0.3125894513649616,0.99996877
0.0,0.31320788055481935,0.99996865
0.0,0.3136319462850075,0.9999685
0.0,0.3145507553670819,0.9999683
0.0,0.31562858909797686,0.9999682
0.0,0.3162116794769856,0.99996805
0.0,0.31674176163972084,0.99996793
0.0,0.31744853785670113,0.9999678
0.0,0.31866772683099215,0.9999677
0.0,0.3199752628324057,0.9999676
0.0,0.3209824189416026,0.99996746
0.0,0.3213711458609418,0.99996734
0.0,0.32250198780811024,0.9999672
0.0,0.3232441028359396,0.9999671
0.0,0.3238802014312218,0.999967
0.0,0.32439261418853255,0.99996686
0.0,0.32488735754041875,0.99996674
0.0,0.3263715875960774,0.9999665
0.0,0.32677798392084106,0.9999664
0.0,0.3276084459757929,0.99996626
0.0,0.3282975527873487,0.99996614
0.0,0.3292163618694231,0.999966
0.0,0.33027652619489356,0.9999659
0.0,0.33103631062814737,0.9999658
0.0,0.33195511971022174,0.99996555
0.0,0.3327149041434756,0.9999654
0.0,0.33331566392790885,0.9999653
0.0,0.3339517625231911,0.9999652
0.0,0.3344641752805018,0.9999651
0.0,0.3351356126866331,0.99996495
0.0,0.33555967841682127,0.99996483
0.0,0.3363017934446506,0.9999647
0.0,0.33716759431045146,0.9999646
0.0,0.3379450481491298,0.9999645
0.0,0.3387048325823836,0.99996436
0.0,0.33930559236681684,0.99996424
0.0,0.3413375739906352,0.9999641
0.0,0.34207968901846453,0.999964
0.0,0.3439349765880378,0.9999639
0.0,0.3446594222104426,0.99996376
0.0,0.3455959006979415,0.99996364
0.0,0.34685042848308156,0.9999635
0.0,0.347945931619401,0.9999634
0.0,0.36135701033660217,0.9999633
0.0,0.36194010071561095,0.99996316
0.0,0.36238183585122363,0.99996305
0.0,0.36322996731159995,0.9999629
0.0,0.3640074211502783,0.9999628
0.0,0.3646435197455606,0.9999627
0.0,0.36492623023235266,0.99996257
0.0,0.36577436169272903,0.99996245
0.0,0.3671349059104161,0.99996233
0.0,0.3677886739111229,0.9999622
0.0,0.36863680537149923,0.9999621
0.0,0.369219895750508,0.999962
0.0,0.36985599434579025,0.99996185
0.0,0.3716406042936655,0.99996173
0.0,0.3719056453750331,0.9999616
0.0,0.37241805813234385,0.9999615
0.0,0.3730011485113526,0.9999614
0.0,0.3744853785670112,0.99996126
0.0,0.3749801219188974,0.99996114
0.0,0.37528050181111405,0.999961
0.0,0.37577524516300026,0.9999609
0.0,0.376287657920311,0.9999608
0.0,0.37694142592101776,0.99996066
0.0,0.37734782224578145,0.99996054
0.0,0.37793091262479017,0.9999604
0.0,0.378796713490591,0.9999603
0.0,0.37953882851842036,0.9999602
0.0,0.3800512412757311,0.99996006
0.0,0.38093471154695646,0.99995995
0.0,0.38155314073681423,0.9999598
0.0,0.3822599169537945,0.9999597
0.0,0.3836911387931796,0.9999596
0.0,0.38453927025355594,0.99995947
0.0,0.3848396501457726,0.99995935
0.0,0.3853874017139323,0.99995923
0.0,0.3860235003092146,0.9999591
0.0,0.3864652354448273,0.999959
0.0,0.387048325823836,0.9999589
0.0,0.3874723915540242,0.99995875
0.0,0.38777277144624084,0.99995863
0.0,0.3884618782577966,0.9999585
0.0,0.38881526636628677,0.9999584
0.0,0.3891863238802014,0.9999583
0.0,0.38978708366463466,0.99995816
0.0,0.39033483523279444,0.99995804
0.0,0.3907058927467091,0.9999579
0.0,0.39135966074741585,0.9999578
0.0,0.39176605707217954,0.9999577
0.0,0.39233147804576374,0.99995756
0.0,0.39310893188444207,0.99995744
0.0,0.3935683364254793,0.9999573
0.0,0.39422210442618605,0.9999572
0.0,0.3956886650764202,0.9999571
0.0,0.3961834084283064,0.99995697
0.0,0.39673115999646613,0.99995685
0.0,0.3970668786995318,0.9999567
0.0,0.397596960862267,0.9999566
0.0,0.39848043113349235,0.99995637
0.0,0.39888682745825604,0.99995625
0.0,0.3995759342698118,0.99995613
0.0,0.40010601643254706,0.999956
0.0,0.40086580086580087,0.9999559
0.0,0.40121918897429104,0.9999558
0.0,0.40174927113702624,0.99995565
0.0,0.4021026592455164,0.99995553
0.0,0.402403039137733,0.9999554
0.0,0.4031274847601378,0.9999553
0.0,0.40346320346320347,0.9999552
0.0,0.4039756162205142,0.99995506
0.0,0.4050887887622581,0.99995494
0.0,0.4054951850870218,0.9999548
0.0,0.4059369202226345,0.9999547
0.0,0.4069264069264069,0.99995446
0.0,0.4071914480077745,0.99995434
0.0,0.4075978443325382,0.9999542
0.0,0.4085166534146126,0.9999541
0.0,0.40918809082074387,0.999954
0.0,0.41035427157876136,0.99995387
0.0,0.41079600671437405,0.99995375
0.0,0.41175015460729747,0.9999536
0.0,0.4121212121212121,0.9999535
0.0,0.4125276084459758,0.9999534
0.0,0.4131106988249845,0.99995327
0.0,0.41339340931177665,0.99995315
0.0,0.41388815266366286,0.99995303
0.0,0.41411785493418146,0.9999529
0.0,0.4146832759077657,0.9999528
0.0,0.4153723827193215,0.9999527
0.0,0.4160968283417263,0.99995255
0.0,0.4193833377506847,0.99995244
0.0,0.41980740348087286,0.9999523
0.0,0.4201431221839385,0.9999522
0.0,0.4205848573195512,0.9999521
0.0,0.42093824542804137,0.99995196
0.0,0.4214329887799276,0.99995184
0.0,0.4217687074829932,0.9999517
0.0,0.42212209559148334,0.9999516
0.0,0.4224224754837,0.9999515
0.0,0.42284654121388815,0.99995136
0.0,0.4234296315928969,0.99995124
0.0,0.4243837794858203,0.9999511
0.0,0.424825514621433,0.999951
0.0,0.42540860500044175,0.9999509
0.0,0.4260977118119975,0.99995077
0.0,0.42691050446152484,0.99995065
0.0,0.42800600759784435,0.9999504
0.0,0.42827104867921195,0.9999503
0.0,0.42874812262567363,0.9999502
0.0,0.42926053538298437,0.99995005
0.0,0.4298259563565686,0.99994993
0.0,0.43016167505963426,0.9999498
0.0,0.4304443855464264,0.9999497
